Bank Number	VREF	PinName/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (3)	HMC Pin Assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0			
4A	VREFB4AN0	IO			DIFFIO_TX_B64n	DIFFOUT_B64n	AK24	DQ8B	DQ2B	B_DQ_23	B_DQ_23							
4A	VREFB4AN0	IO			DIFFIO_RX_B63p	DIFFOUT_B63p	Y18			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_TX_B64p	DIFFOUT_B64p	AK23	DQ8B	DQ2B	B_DM_2	B_DM_2							
4A	VREFB4AN0	IO			DIFFIO_TX_B65n	DIFFOUT_B65n	AJ25			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_RX_B66n	DIFFOUT_B66n	AF24	DQ9B	DQ3B	B_DQ_24	B_DQ_24							
4A	VREFB4AN0	IO			DIFFIO_TX_B65p	DIFFOUT_B65p	AJ24	DQ9B	DQ3B	B_DQ_26	B_DQ_26							
4A	VREFB4AN0	IO			DIFFIO_RX_B66p	DIFFOUT_B66p	AF23	DQ9B	DQ3B	B_DQ_25	B_DQ_25							
4A	VREFB4AN0	IO			DIFFIO_RX_B67n	DIFFOUT_B67n	AD19	DQSn9B	DQ3B	B_DQS#_3	B_DQS#_3							
4A	VREFB4AN0	IO			DIFFIO_TX_B68n	DIFFOUT_B68n	AK26	DQ9B	DQ3B	B_DQ_27	B_DQ_27							
4A	VREFB4AN0	IO			DIFFIO_RX_B67p	DIFFOUT_B67p	AC20	DQS9B	DQ3B	B_DQS_3	B_DQS_3							
4A	VREFB4AN0	IO			DIFFIO_TX_B68p	DIFFOUT_B68p	AJ26			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_TX_B69n	DIFFOUT_B69n	AH25	DQ9B	DQ3B	GND	GND							
4A	VREFB4AN0	IO			DIFFIO_RX_B70n	DIFFOUT_B70n	AE23	DQ9B	DQ3B	B_DQ_28	B_DQ_28							
4A	VREFB4AN0	IO			DIFFIO_TX_B69p	DIFFOUT_B69p	AG25	DQ9B	DQ3B	B_DQ_30	B_DQ_30							
4A	VREFB4AN0	IO			DIFFIO_RX_B70p	DIFFOUT_B70p	AE22	DQ9B	DQ3B	B_DQ_29	B_DQ_29							
4A	VREFB4AN0	IO			DIFFIO_RX_B71n	DIFFOUT_B71n	W19			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_TX_B72n	DIFFOUT_B72n	AK27	DQ9B	DQ3B	B_DQ_31	B_DQ_31							
4A	VREFB4AN0	IO			DIFFIO_RX_B71p	DIFFOUT_B71p	V18			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_TX_B72p	DIFFOUT_B72p	AJ27	DQ9B	DQ3B	B_DM_3	B_DM_3							
4A	VREFB4AN0	IO			DIFFIO_TX_B73n	DIFFOUT_B73n	AK29			GND	GND							
4A	VREFB4AN0	IO			DIFFIO_RX_B74n	DIFFOUT_B74n	AD21	DQ10B	DQ3B	B_DQ_32	B_DQ_32							
