Device/Package xc7v2000tflg1925 8/18/2011 15:49:36,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
AC43,IO_L17P_T2_A26_15,2,15,1,1,HP,NA
AC44,IO_L17N_T2_A25_15,2,15,1,1,HP,NA
AB44,IO_L18P_T2_A24_15,2,15,1,1,HP,NA
AA44,IO_L18N_T2_A23_15,2,15,1,1,HP,NA
AB29,IO_L19P_T3_A22_15,3,15,1,1,HP,NA
AB30,IO_L19N_T3_A21_VREF_15,3,15,1,1,HP,NA
AC31,IO_L20P_T3_A20_15,3,15,1,1,HP,NA
AC32,IO_L20N_T3_A19_15,3,15,1,1,HP,NA
AA29,IO_L21P_T3_DQS_15,3,15,1,1,HP,NA
AA30,IO_L21N_T3_DQS_A18_15,3,15,1,1,HP,NA
AB31,IO_L22P_T3_A17_15,3,15,1,1,HP,NA
AB32,IO_L22N_T3_A16_15,3,15,1,1,HP,NA
AD29,IO_L23P_T3_FOE_B_15,3,15,1,1,HP,NA
AC29,IO_L23N_T3_FWE_B_15,3,15,1,1,HP,NA
AD30,IO_L24P_T3_RS1_15,3,15,1,1,HP,NA
AD31,IO_L24N_T3_RS0_15,3,15,1,1,HP,NA
AB28,IO_25_VRP_15,NA,15,1,1,HP,NA
U32,IO_0_VRN_16,NA,16,1,1,HP,NA
V33,IO_L1P_T0_16,0,16,1,1,HP,NA
V34,IO_L1N_T0_16,0,16,1,1,HP,NA
U34,IO_L2P_T0_16,0,16,1,1,HP,NA
U35,IO_L2N_T0_16,0,16,1,1,HP,NA
W33,IO_L3P_T0_DQS_16,0,16,1,1,HP,NA
W34,IO_L3N_T0_DQS_16,0,16,1,1,HP,NA
U36,IO_L4P_T0_16,0,16,1,1,HP,NA
U37,IO_L4N_T0_16,0,16,1,1,HP,NA
Y35,IO_L5P_T0_16,0,16,1,1,HP,NA
Y36,IO_L5N_T0_16,0,16,1,1,HP,NA
W35,IO_L6P_T0_16,0,16,1,1,HP,NA
W36,IO_L6N_T0_VREF_16,0,16,1,1,HP,NA
V38,IO_L7P_T1_16,1,16,1,1,HP,NA
V39,IO_L7N_T1_16,1,16,1,1,HP,NA
V36,IO_L8P_T1_16,1,16,1,1,HP,NA
V37,IO_L8N_T1_16,1,16,1,1,HP,NA
U39,IO_L9P_T1_DQS_16,1,16,1,1,HP,NA
U40,IO_L9N_T1_DQS_16,1,16,1,1,HP,NA
Y37,IO_L10P_T1_16,1,16,1,1,HP,NA
Y38,IO_L10N_T1_16,1,16,1,1,HP,NA
Y40,IO_L11P_T1_SRCC_16,1,16,1,1,HP,NA
W40,IO_L11N_T1_SRCC_16,1,16,1,1,HP,NA
W38,IO_L12P_T1_MRCC_16,1,16,1,1,HP,NA
W39,IO_L12N_T1_MRCC_16,1,16,1,1,HP,NA
V41,IO_L13P_T2_MRCC_16,2,16,1,1,HP,NA
V42,IO_L13N_T2_MRCC_16,2,16,1,1,HP,NA
Y41,IO_L14P_T2_SRCC_16,2,16,1,1,HP,NA
W41,IO_L14N_T2_SRCC_16,2,16,1,1,HP,NA
U41,IO_L15P_T2_DQS_16,2,16,1,1,HP,NA
U42,IO_L15N_T2_DQS_16,2,16,1,1,HP,NA
Y42,IO_L16P_T2_16,2,16,1,1,HP,NA
Y43,IO_L16N_T2_16,2,16,1,1,HP,NA
V43,IO_L17P_T2_16,2,16,1,1,HP,NA
V44,IO_L17N_T2_16,2,16,1,1,HP,NA
W43,IO_L18P_T2_16,2,16,1,1,HP,NA
W44,IO_L18N_T2_16,2,16,1,1,HP,NA
V31,IO_L19P_T3_16,3,16,1,1,HP,NA
V32,IO_L19N_T3_VREF_16,3,16,1,1,HP,NA
U30,IO_L20P_T3_16,3,16,1,1,HP,NA
