"Pin Information for HardCopy® IV HC4GX25LF1152 Version 1.0"										
										
										
Bank Number	VREF Group	"Pin Name
/Function"	"Optional  Function(s)"	Configuration Function for Stratix IV Only (1)	"Dedicated Tx_Rx Channel (2)"	"Emulated LVDS  Output Channel (2)"	F1152	"DQ Group for  DQS X4 Mode (2)"	"DQ Group for  DQS X8/X9 Mode (2)"	"DQ Group for  DQS X16/X18 Mode (2)"
3A	VREFB3AN0	IO			DIFFIO_RX_B9n	DIFFOUT_B18n	AP30	DQ6B	DQ3B	
3A	VREFB3AN0	IO			DIFFIO_RX_B9p	DIFFOUT_B18p	AP29	DQ6B	DQ3B	
3A	VREFB3AN0	IO				DIFFOUT_B19n	AB23			
3A	VREFB3AN0	IO				DIFFOUT_B19p	AA23			
3A	VREFB3AN0	IO			DIFFIO_RX_B10n	DIFFOUT_B20n	AD22			
3A	VREFB3AN0	IO			DIFFIO_RX_B10p	DIFFOUT_B20p	AC22			
3B	VREFB3BN0	IO(7)				DIFFOUT_B21n	AC20	DQ7B	DQ7B	DQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B21p	AD20	DQ7B	DQ7B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B11n	DIFFOUT_B22n	AF21	DQSn7B	DQ7B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B11p	DIFFOUT_B22p	AE22	DQS7B	DQ7B/CQn7B	DQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B23n	AE20	DQ7B	DQ7B	DQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B23p	AE21	DQ7B	DQ7B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B12n	DIFFOUT_B24n	AJ24	DQSn8B	DQSn7B/DQ7B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B12p	DIFFOUT_B24p	AH23	DQS8B	DQS7B/CQ7B	DQ7B/CQn7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B25n	AG22	DQ8B	DQ7B	DQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B25p	AH21	DQ8B	DQ7B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B13n	DIFFOUT_B26n	AJ22	DQ8B	DQ7B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B13p	DIFFOUT_B26p	AH22	DQ8B	DQ7B	DQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B27n	AL23	DQ9B	DQ8B	DQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B27p	AM23	DQ9B	DQ8B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B14n	DIFFOUT_B28n	AM24	DQSn9B	DQ8B	DQSn7B/DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B14p	DIFFOUT_B28p	AL24	DQS9B	DQ8B/CQn8B	DQS7B/CQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B29n	AK22	DQ9B	DQ8B	DQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B29p	AK23	DQ9B	DQ8B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B15n	DIFFOUT_B30n	AP26	DQSn10B	DQSn8B/DQ8B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B15p	DIFFOUT_B30p	AN26	DQS10B	DQS8B/CQ8B	DQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B31n	AM25	DQ10B	DQ8B	DQ7B
3B	VREFB3BN0	IO(7)				DIFFOUT_B31p	AP24	DQ10B	DQ8B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B16n	DIFFOUT_B32n	AP25	DQ10B	DQ8B	DQ7B
3B	VREFB3BN0	IO(7)			DIFFIO_RX_B16p	DIFFOUT_B32p	AN25	DQ10B	DQ8B	DQ7B
3C	VREFB3CN0	IO				DIFFOUT_B33n	AM22	DQ11B	DQ11B	
3C	VREFB3CN0	IO				DIFFOUT_B33p	AP22	DQ11B	DQ11B	
3C	VREFB3CN0	IO			DIFFIO_RX_B17n	DIFFOUT_B34n	AP23	DQSn11B	DQ11B	
3C	VREFB3CN0	IO			DIFFIO_RX_B17p	DIFFOUT_B34p	AN23	DQS11B	DQ11B/CQn11B	
3C	VREFB3CN0	IO				DIFFOUT_B35n	AP21	DQ11B	DQ11B	
3C	VREFB3CN0	IO				DIFFOUT_B35p	AN22	DQ11B	DQ11B	
3C	VREFB3CN0	IO			DIFFIO_RX_B18n	DIFFOUT_B36n	AM21	DQSn12B	DQSn11B/DQ11B	
3C	VREFB3CN0	IO			DIFFIO_RX_B18p	DIFFOUT_B36p	AL21	DQS12B	DQS11B/CQ11B	
3C	VREFB3CN0	IO				DIFFOUT_B37n	AJ21	DQ12B	DQ11B	
